date,close,open,high,low,open,high,low,open,high,low,open,high,low,open,high,low
11.04.1994,11.021,10.947,11.105,10.873,10.997,11.047,10.896,11.074,11.074,10.873,11.13,11.138,10.973,11.13,11.255,11.021
12.04.1994,10.997,11.183,11.207,10.922,10.947,11.105,10.873,10.997,11.047,10.896,11.074,11.074,10.873,11.13,11.138,10.973
13.04.1994,10.896,10.997,11.105,10.786,11.183,11.207,10.922,10.947,11.105,10.873,10.997,11.047,10.896,11.074,11.074,10.873
14.04.1994,11.207,10.922,11.207,10.922,10.997,11.105,10.786,11.183,11.207,10.922,10.947,11.105,10.873,10.997,11.047,10.896
15.04.1994,11.021,11.207,11.341,10.947,10.922,11.207,10.922,10.997,11.105,10.786,11.183,11.207,10.922,10.947,11.105,10.873
18.04.1994,11.105,10.997,11.255,10.973,11.207,11.341,10.947,10.922,11.207,10.922,10.997,11.105,10.786,11.183,11.207,10.922
19.04.1994,11.105,11.13,11.183,10.687,10.997,11.255,10.973,11.207,11.341,10.947,10.922,11.207,10.922,10.997,11.105,10.786
20.04.1994,10.873,11.074,11.13,10.765,11.13,11.183,10.687,10.997,11.255,10.973,11.207,11.341,10.947,10.922,11.207,10.922
21.04.1994,12.14,11.439,12.192,11.23,11.074,11.13,10.765,11.13,11.183,10.687,10.997,11.255,10.973,11.207,11.341,10.947
22.04.1994,12.216,12.14,12.375,12.066,11.439,12.192,11.23,11.074,11.13,10.765,11.13,11.183,10.687,10.997,11.255,10.973
25.04.1994,12.324,12.165,12.324,12.115,12.14,12.375,12.066,11.439,12.192,11.23,11.074,11.13,10.765,11.13,11.183,10.687
26.04.1994,12.165,12.25,12.324,12.165,12.165,12.324,12.115,12.14,12.375,12.066,11.439,12.192,11.23,11.074,11.13,10.765
28.04.1994,11.881,12.042,12.115,11.807,12.25,12.324,12.165,12.165,12.324,12.115,12.14,12.375,12.066,11.439,12.192,11.23
29.04.1994,11.958,11.933,12.042,11.832,12.042,12.115,11.807,12.25,12.324,12.165,12.165,12.324,12.115,12.14,12.375,12.066
2.05.1994,12.066,11.958,12.14,11.832,11.933,12.042,11.832,12.042,12.115,11.807,12.25,12.324,12.165,12.165,12.324,12.115
3.05.1994,12.14,12.092,12.192,12.042,11.958,12.14,11.832,11.933,12.042,11.832,12.042,12.115,11.807,12.25,12.324,12.165
4.05.1994,12.014,12.115,12.115,11.958,12.092,12.192,12.042,11.958,12.14,11.832,11.933,12.042,11.832,12.042,12.115,11.807
5.05.1994,11.881,11.933,11.958,11.832,12.115,12.115,11.958,12.092,12.192,12.042,11.958,12.14,11.832,11.933,12.042,11.832
6.05.1994,11.749,11.749,11.881,11.698,11.933,11.958,11.832,12.115,12.115,11.958,12.092,12.192,12.042,11.958,12.14,11.832
9.05.1994,11.857,11.749,12.042,11.749,11.749,11.881,11.698,11.933,11.958,11.832,12.115,12.115,11.958,12.092,12.192,12.042
